customer_id,full_name,email,phone,city,registration_date,age_group,gender,is_premium
CUST00001,Omya Lall,ekta87@example.net,04382506399,Pune,2021-03-18,35-44,Male,False
CUST00002,Netra Sharaf,pbalan@example.net,08141547079,Hyderabad,2022-09-09,25-34,Female,False
CUST00003,Jagdish Atwal,robertdara@example.com,+911225990531,Ahmedabad,2022-12-07,18-24,Male,False
CUST00004,Leena Venkatesh,zarnasetty@example.net,8249593995,Chennai,2022-03-26,18-24,Male,False
CUST00005,Ubika Chad,xgoda@example.net,01183239937,Pune,2022-04-26,25-34,Male,False
CUST00006,Hemani Bhalla,vrishtikaur@example.com,+914109451623,Indore,2022-05-18,45-54,Female,False
CUST00007,Girish Divan,gunbirtripathi@example.com,+913177349878,Bengaluru,2022-08-12,25-34,Female,False
CUST00008,Suhani Tripathi,butalaom@example.org,+913912636015,Pune,2022-09-19,35-44,Female,True
CUST00009,Chasmum Sule,tanay26@example.com,9309740085,Ahmedabad,2021-02-08,25-34,Male,True
CUST00010,Wakeeta Bansal,upmananda@example.org,09386055296,Chennai,2021-06-22,25-34,Male,False
CUST00011,Dipta Sant,aarini66@example.com,5351764215,Hyderabad,2022-10-04,18-24,Male,False
CUST00012,Aachal Shroff,yashodhara59@example.net,7368579069,Ahmedabad,2021-05-07,18-24,Male,False
CUST00013,Advaith Singh,sandalucchal@example.com,01547744931,Ahmedabad,2021-10-26,45-54,Female,False
CUST00014,Pallavi Gill,sandhubakhshi@example.com,08287830488,Bengaluru,2022-11-30,25-34,Female,False
CUST00015,Hitesh Thakkar,chopraelijah@example.org,6337406169,Kolkata,2022-12-02,25-34,Male,False
CUST00016,Nathaniel Rattan,minhaschaitanya@example.com,2830520000,Chennai,2022-09-28,45-54,Female,False
CUST00017,Ekaja Keer,mlanka@example.net,+912357883456,Delhi,2022-05-23,18-24,Female,False
CUST00018,Upasna Devi,meerabhatt@example.com,+917340673826,Ahmedabad,2022-05-08,55+,Male,True
CUST00019,Neel Barman,dixitekalinga@example.com,+910745815797,Kolkata,2021-08-02,25-34,Female,False
CUST00020,Pavani Mallick,lokeadya@example.net,+913748148718,Delhi,2021-04-25,25-34,Female,False
CUST00021,Vinaya Gandhi,pathakikshita@example.com,+912216480036,Chennai,2022-12-05,25-34,Female,False
CUST00022,Jonathan Mistry,parmeroni@example.com,+919593616247,Mumbai,2021-06-06,18-24,Male,False
CUST00023,Vedika Kashyap,georgesachdeva@example.com,6688475095,Indore,2022-06-12,18-24,Female,False
CUST00024,Luke Apte,craghavan@example.org,+917649619035,Kolkata,2021-03-07,35-44,Female,False
CUST00025,Vasana Khalsa,akshay83@example.org,07338704174,Jaipur,2021-01-13,45-54,Male,True
CUST00026,Saanvi Merchant,kalasaha@example.com,04801653990,Mumbai,2021-06-22,35-44,Male,False
CUST00027,Samarth Rastogi,bhardwajanjali@example.com,+910562104236,Indore,2021-10-29,18-24,Male,False
CUST00028,Bahadurjit Jani,vkhurana@example.com,1108490225,Bengaluru,2022-05-21,25-34,Female,False
CUST00029,Neelima Dara,kamdarbhavya@example.net,08527596448,Pune,2021-09-29,18-24,Male,False
CUST00030,Charvi Chhabra,hlata@example.org,+913506930911,Hyderabad,2021-05-08,18-24,Female,True
CUST00031,Yatin Parsa,kritika12@example.com,1448475645,Jaipur,2022-03-23,35-44,Male,False
CUST00032,Charles Ahluwalia,jaggidaksh@example.com,+911856565213,Bengaluru,2022-12-26,25-34,Male,False
CUST00033,Farhan Bal,david64@example.net,2322712558,Chennai,2022-07-22,18-24,Male,False
CUST00034,Joshua Andra,yashasvi94@example.org,04095581949,Bengaluru,2021-01-17,18-24,Male,False
CUST00035,Upasna Seshadri,keyamohan@example.com,+913853485979,Pune,2021-10-26,55+,Male,True
CUST00036,Yuvraj Thakkar,frado22@example.org,1621175427,Chennai,2022-01-18,18-24,Female,False
CUST00037,Vasudha Narain,toorekanta@example.com,08163043793,Jaipur,2022-03-23,25-34,Male,False
CUST00038,Ronith Sharaf,qsinha@example.net,8065103971,Pune,2022-07-26,25-34,Male,False
CUST00039,Parth Sabharwal,gargamol@example.com,09877852836,Delhi,2022-05-26,18-24,Male,False
CUST00040,Rehaan Sankar,raghavsrinivas@example.net,9941308700,Hyderabad,2022-01-22,18-24,Female,False
CUST00041,Maya Sarma,yatin92@example.com,+916925184695,Jaipur,2022-09-19,25-34,Female,True
CUST00042,Warda Arya,umorar@example.net,6419966701,Delhi,2022-09-29,35-44,Female,True
CUST00043,Daniel Verma,gayathrichaudry@example.org,+914209225357,Indore,2021-12-08,25-34,Other,False
